pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,
150,v,6,1,25,1,,,,,221.4840240420017,222.47132058400166,222.47132058400166,222.47132058400166,222.47132058400166,222.48014920900096,223.4764114589998,223.4764114589998,v,1,0.8337954170019657,None,1,001,2023-10-17_22h30.59.890,MotorSequenceLearning,2023.1.3,None,
50,c,6,2,26,2,,,,,224.31735945900073,225.30524366700047,225.30524366700047,225.30524366700047,225.30524366700047,225.3138487920005,226.3093675420023,226.3093675420023,c,1,0.6352013750001788,None,1,001,2023-10-17_22h30.59.890,MotorSequenceLearning,2023.1.3,None,
-150,z,6,3,27,3,,,,,226.9502315000027,227.94331650000095,227.94331650000095,227.94331650000095,227.94331650000095,227.94331650000095,228.94322683400242,228.94322683400242,z,1,0.5927062080008909,None,1,001,2023-10-17_22h30.59.890,MotorSequenceLearning,2023.1.3,None,
-50,x,7,0,28,0,,,,,229.5423284589997,230.5370334170002,230.5370334170002,230.5370334170002,230.5370334170002,230.5370334170002,231.5349732499999,231.5349732499999,x,1,0.4248195830004988,None,1,001,2023-10-17_22h30.59.890,MotorSequenceLearning,2023.1.3,None,
150,v,7,1,29,1,,,,,231.96692262500073,232.95993162500235,232.95993162500235,232.95993162500235,232.95993162500235,232.95993162500235,233.95993858400107,233.95993858400107,v,1,0.48491029200158664,None,1,001,2023-10-17_22h30.59.890,MotorSequenceLearning,2023.1.3,None,
50,c,7,2,30,2,,,,,234.45134166700154,235.44426287500028,235.44426287500028,235.44426287500028,235.44426287500028,235.44426287500028,236.44247475000157,236.44247475000157,c,1,0.6937949590028438,None,1,001,2023-10-17_22h30.59.890,MotorSequenceLearning,2023.1.3,None,
-150,z,7,3,31,3,,,,,237.14321425000162,238.1377395840027,238.1377395840027,238.1377395840027,238.1377395840027,238.1377395840027,239.13520791700284,239.13520791700284,z,1,0.4433273750000808,None,1,001,2023-10-17_22h30.59.890,MotorSequenceLearning,2023.1.3,None,
-50,x,8,0,32,0,,,,,239.58556729200063,240.59363545900123,240.59363545900123,240.59363545900123,240.59363545900123,240.61083666700142,241.57614375000048,241.57614375000048,x,1,0.743283457999496,None,1,001,2023-10-17_22h30.59.890,MotorSequenceLearning,2023.1.3,None,
150,v,8,1,33,1,,,,,242.32599262500298,243.32089283400273,243.32089283400273,243.32089283400273,243.32089283400273,243.32089283400273,244.31861479200234,244.31861479200234,v,1,0.491109458002029,None,1,001,2023-10-17_22h30.59.890,MotorSequenceLearning,2023.1.3,None,
50,c,8,2,34,2,,,,,244.8169680840001,245.8062332920017,245.8062332920017,245.8062332920017,245.8062332920017,245.81556329200248,246.80193254200276,246.80193254200276,v,0,0.48440883299917914,None,1,001,2023-10-17_22h30.59.890,MotorSequenceLearning,2023.1.3,None,
-150,z,8,3,35,3,,,,,247.29333716700057,248.28795304199957,248.28795304199957,248.28795304199957,248.28795304199957,248.28795304199957,249.28533874999994,249.28533874999994,z,1,0.5264269999970566,None,1,001,2023-10-17_22h30.59.890,MotorSequenceLearning,2023.1.3,None,
-50,x,9,0,36,0,,,,,249.81862066699978,250.8110997920012,250.8110997920012,250.8110997920012,250.8110997920012,250.8207121250016,251.8094079170005,251.8094079170005,x,1,0.4936851249985921,None,1,001,2023-10-17_22h30.59.890,MotorSequenceLearning,2023.1.3,None,
150,v,9,1,37,1,,,,,252.30956491700272,253.30454587500208,253.30454587500208,253.30454587500208,253.30454587500208,253.30454587500208,254.30263570900206,254.30263570900206,v,1,0.9906181670012302,None,1,001,2023-10-17_22h30.59.890,MotorSequenceLearning,2023.1.3,None,
50,c,9,2,38,2,,,,,255.30038179199983,256.2939138340007,256.2939138340007,256.2939138340007,256.2939138340007,256.2939138340007,257.29370904200186,257.29370904200186,c,1,0.6257925409991003,None,1,001,2023-10-17_22h30.59.890,MotorSequenceLearning,2023.1.3,None,
-150,z,9,3,39,3,,,,,257.92716020900116,258.921719209,258.921719209,258.921719209,258.921719209,258.921719209,259.91877695900257,259.91877695900257,z,1,0.6345510840001225,None,1,001,2023-10-17_22h30.59.890,MotorSequenceLearning,2023.1.3,None,
-50,x,10,0,40,0,,,,,260.5601436249999,261.5548027500008,261.5548027500008,261.5548027500008,261.5548027500008,261.5548027500008,262.55211483400126,262.55211483400126,x,1,0.38460624999788706,None,1,001,2023-10-17_22h30.59.890,MotorSequenceLearning,2023.1.3,None,
150,v,10,1,41,1,,,,,262.94291404199976,263.9381915840022,263.9381915840022,263.9381915840022,263.9381915840022,263.9381915840022,264.9358776670015,264.9358776670015,v,1,0.5760707080007705,None,1,001,2023-10-17_22h30.59.890,MotorSequenceLearning,2023.1.3,None,
50,c,10,2,42,2,,,,,265.51815474999967,266.5104599590013,266.5104599590013,266.5104599590013,266.5104599590013,266.5104599590013,267.50959525000144,267.50959525000144,c,1,0.5929184999986319,None,1,001,2023-10-17_22h30.59.890,MotorSequenceLearning,2023.1.3,None,
-150,z,10,3,43,3,,,,,268.1104055420001,269.10510470900044,269.10510470900044,269.10510470900044,269.10510470900044,269.10510470900044,270.102588167003,270.102588167003,z,1,0.5095184999991034,None,1,001,2023-10-17_22h30.59.890,MotorSequenceLearning,2023.1.3,None,
